uuid	odkid	icode	psu	hhid	agreement	ict1_a	ict1_b	ict2_	ict2_96z	ict3_	ict4	ict5	ict6_	ict6_96z	ict2_1	ict2_2	ict2_3	ict2_4	ict2_5	ict2_6	ict2_7	ict2_96	ict3_1	ict3_2	ict3_3	ict3_4	ict3_5	ict6_1	ict6_2	ict6_3	ict6_4	ict6_5	ict6_6	ict6_7	ict6_8	ict6_9	ict6_10	ict6_96	region	urban	begin_time	dur_ict	corrected_dur_ict	year	month	day	date	start_date	end_date	time	start_time	end_time
20240919	uuid:00002fb2-47be-414f-ac93-64c80fde5236	1513	38340256	16	Yes	No	Yes			4	Yes, but not all of them	A few times a week	4 2		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-19T17:57:00.000+04:00	0	0	2024	9	19	2024/09/19	2024/09/19	2024/09/19	2024/09/19 21:28:17	2024/09/19 17:54:04	2024/09/19 19:10:24
20241021	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504	1832	11250573	12	Yes	Yes	Yes			2 4	Yes, but not all of them	Every day	2 3 4 5		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	Tbilisi	Urban	2024-10-21T13:02:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 18:06:04	2024/10/21 12:58:34	2024/10/21 14:18:54
20240912	uuid:002e7b3f-b8ae-4c78-8d71-32671c020627	1316	26400342	4	Yes	No	No	1 2			No	Never			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imereti	Rural	2024-09-12T15:39:00.000+04:00	1	1	2024	9	12	2024/09/12	2024/09/12	2024/09/12	2024/09/12 16:08:57	2024/09/12 15:36:39	2024/09/12 16:07:54
20241007	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac	1522	38250473	4	Yes	Yes	Yes			4 5	Yes, but not all of them	Every day	2 1 3 5 4		0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-10-07T13:09:00.000+04:00	1	1	2024	10	7	2024/10/07	2024/10/07	2024/10/07	2024/10/07 19:52:58	2024/10/07 13:02:18	2024/10/07 13:41:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	1668	44260474	20	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Kvemo Kartli	Rural	2024-09-03T14:29:00.000+04:00	1	1	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240906	uuid:0093d44c-5893-4a16-92a0-547cb5439feb	1668	44260161	6	Yes	Yes	No			4	No	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Kvemo Kartli	Rural	2024-09-06T14:25:00.000+04:00	2	2	2024	9	9	2024/09/09	2024/09/06	2024/09/06	2024/09/09 23:17:44	2024/09/06 14:25:29	2024/09/06 15:38:21
20240911	uuid:009a9eb1-3c8b-4b9d-af8b-0691da889a9f	1523	38280235	12	Yes	No	Yes			4	Yes all of them	Every day	4 2		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-11T15:32:00.000+04:00	1	1	2024	9	12	2024/09/12	2024/09/11	2024/09/11	2024/09/12 11:34:44	2024/09/11 15:30:24	2024/09/11 16:29:05
20241007	uuid:00a11c96-2908-4895-9cb0-d743ce023294	1501	38360272	8	Yes	Yes	Yes			2 4	Yes, but not all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Urban	2024-10-07T11:36:00.000+04:00	1	1	2024	10	10	2024/10/10	2024/10/07	2024/10/07	2024/10/10 11:11:47	2024/10/07 11:30:04	2024/10/07 12:54:48
20241019	uuid:00dc386c-d53a-4c09-928b-cc3733b2063a	1832	11250572	28	Yes	Yes	Yes			2 4	Yes all of them	Every day	1 2 3 4 5 6 8		0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	Tbilisi	Urban	2024-10-19T16:52:00.000+04:00	1	1	2024	10	19	2024/10/19	2024/10/19	2024/10/19	2024/10/19 18:14:40	2024/10/19 16:48:44	2024/10/19 18:14:29
20241014	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137	1519	38140153	10	Yes	Yes	Yes			5 4 2	Yes, but not all of them	Every day	1 2 3 4 5 6		0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	Samegrelo-Zemo Svaneti	Urban	2024-10-14T15:23:00.000+04:00	2	2	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 17:37:14	2024/10/14 15:13:33	2024/10/14 17:25:45
